1 16268 16776 13108 10301 14238 13758 0 0
2 13108 10301 5690 13709 8897 17017 0 0
1 5690 13709 5793 20422 8897 17017 0 0
2 5793 20422 15263 7995 0 0 0 0
0 15263 7995 13358 1580 0 0 0 0
0 13358 1580 5740 5890 0 0 0 0
0 5740 5890 1880 9248 0 0 0 0
0 1880 9248 7694 16215 0 0 0 0
0 7694 16215 13458 9048 0 0 0 0
0 13458 9048 6642 2031 0 0 0 0
0 6642 2031 76 7444 0 0 0 0
0 76 7444 1028 14310 0 0 0 0
0 1028 14310 6191 9850 0 0 0 0
2 6191 9850 17962 13896 0 0 0 0
0 17962 13896 20842 -2367 0 0 0 0
0 20842 -2367 13642 -4569 0 0 0 0
0 13642 -4569 1953 2461 0 0 0 0
0 1953 2461 -5162 7628 0 0 0 0
0 -5162 7628 -2621 16438 0 0 0 0
0 -2621 16438 2969 21181 0 0 0 0
0 2969 21181 6527 16861 0 0 0 0
2 6527 16861 16268 16776 19370 13833 1 0
1 16268 16776 21266 10000 19370 13833 1 0
-1 21266 10000 0 0 0 0 0 0
